source,technology,region,country,year,metric_type,value
Energy Institute,Biofuels,CIS,,2014,Primary energy consumption (EJ),0.001036
Energy Institute,Biofuels,CIS,,2015,Primary energy consumption (EJ),0.000814
Energy Institute,Biofuels,CIS,,2016,Primary energy consumption (EJ),0.002159
Energy Institute,Biofuels,CIS,,2017,Primary energy consumption (EJ),0.0034976
Energy Institute,Biofuels,CIS,,2018,Primary energy consumption (EJ),0.00459
Energy Institute,Biofuels,CIS,,2019,Primary energy consumption (EJ),0.0062246
Energy Institute,Biofuels,CIS,,2020,Primary energy consumption (EJ),0.0067836
Energy Institute,Biofuels,CIS,,2021,Primary energy consumption (EJ),0.0100554
Energy Institute,Biofuels,CIS,,2022,Primary energy consumption (EJ),0.013814799
Energy Institute,Biofuels,CIS,,2023,Primary energy consumption (EJ),0.0175894
Energy Institute,Biofuels,Europe,Italy,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Finland,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Poland,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Portugal,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Sweden,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,United Kingdom,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Other Europe,2000,Primary energy consumption (EJ),0.002503816
Energy Institute,Biofuels,Europe,Belgium,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Netherlands,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Austria,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,France,2000,Primary energy consumption (EJ),0.013141332
Energy Institute,Biofuels,Europe,Spain,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Germany,2000,Primary energy consumption (EJ),0.009249348
Energy Institute,Biofuels,Europe,Finland,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Sweden,2001,Primary energy consumption (EJ),0.0006202
Energy Institute,Biofuels,Europe,Austria,2001,Primary energy consumption (EJ),
